WalletAddress,MintAddressCount,Status,ErrorDetails
"6dJM6PSaT9gpKJhhRGAP1H7VkuUkRRZrbct3DmyPxAAE",0,"Success (No Mints)",""
"9AQwjJ3S6841YGUjXaPMfCokD83V6hNTxncB9WZrD8TK",0,"Success (No Mints)",""
"CzKvsomwja33dss1rgdY7JgvcBRbcHSqB85TDsUeTMS6",0,"Success (No Mints)",""
"ALBZGHCfB8v7geJBRs1rmajHBgqrhEnXdQwzmvsENCKY",0,"Success (No Mints)",""
"6Ga5NrByCBjJZ61ynQp6QNcnEzk7KPu7jd8sg7KqYdV4",0,"Success (No Mints)",""
"3DQoxRu2tUH677foLtZzSMHW7TjHMVyqvGjCG3vZpTNX",0,"Success (No Mints)",""
"4Mb68886nfMgfaven3knVhYMmg3NRhCmXaN9dFxEXeY9",10,"Success",""
"7d8CZnsxbwTBer1MAK9Ri5nCdwDrYzjrmNXBRb5oQsJ6",0,"Success (No Mints)",""
"JDTv6SUNdgWx92ydCpYm1dxMWstgx2YREERKExdAj5re",0,"Success (No Mints)",""
"4Z1uz1CBrgu62qnTDXtofmPiuEvSJi6rMquCB9AnWgwF",0,"Success (No Mints)",""
"CepewCavVBXqDQhA58a3rtcCgQVGsdS3pTfCyRm1Eh1y",0,"Success (No Mints)",""
"kJYQQX6EZR8rE956R2BKeySnHnUfxrjcUxHTkoqJCHM",0,"Success (No Mints)",""
"3taEQrgMsDCe3oGkV1yWoASCK7pvn3QquMPqZYmqfyt1",0,"Success (No Mints)",""
"8eYUqzywb866s3tUDpZigYNZiHA5TjVdU9VYfR8C7A1x",0,"Success (No Mints)",""
"EvsZVH4FsKaDe6AizkooUkuN9fxKrb9SdoaGdWqd4J2h",0,"Success (No Mints)",""
"D7SaKFDx6vskFXVpAo2Peo9B7LydFtXgdziMdFDsbWta",0,"Success (No Mints)",""
"E84fK41LewnhkXn1yAvTgUrz8pRHGyPDJvJdB93VTfS1",0,"Success (No Mints)",""
"77mVunH3pGgK7qrVEUp21uyvoXNATc9atXvsGBhsSTfs",0,"Success (No Mints)",""
"EXTbKF8VtJwJMakAQ4RCbNXUpk9jLN8P9xc6idAEq8or",0,"Success (No Mints)",""
"9HY78hm2Y2DgdDoaD8y5FTqk4ahU9kbK5iYVjKUP9rrM",0,"Success (No Mints)",""
"55A9S4Q6RYV3QrZGXVoWGrhMWyZoEnyogV5D4Rdkcinw",0,"Success (No Mints)",""
"7qjVtCN69QhBFMUtKXp9JLMXcUDWgvtrzESGLonBLT24",0,"Success (No Mints)",""
"3Sp2ZLoPznvhfqtRYCoWDipfmKa4MpRipyJqup3mrKGp",0,"Success (No Mints)",""
"AfVWsAtSP6odrEaLmpgVwVNkXWiY88UYVjqjctrHoPw",0,"Success (No Mints)",""
"E2rsuvTeJYuyes6MiFCU6KhKqHBiVu82SWLvP96SnKPD",0,"Success (No Mints)",""
"9tBbYtTzmEJF4TyPeb8grabktdHsdGF75op9NuMVwDRc",0,"Success (No Mints)",""
"H5BrJ8AzWQuUGAbgBhwjDB3ah2aXvw9YEiLckh6sf2sD",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"PZBc1Pu5K46x4FmFugyfQ512FitNbnkfCqF61rD2CtA",0,"Success (No Mints)",""
"CPDG9Aj4n6XLW88BAiJMxK2hhQ2wfSaahKUx4RpNejKK",0,"Success (No Mints)",""
"5K1QJj5c2b5b4cAEaGQE4DeitJT9Zqg8sCS9s4ztK4B4",0,"ScrapeError","Failed to launch the browser process! undefined"
"Ew6KrUYiCVjRTozu8BgkQwYeikaDkyX7AtPdyNJCrPNz",0,"ScrapeError","Waiting for selector `table.w-full.border-separate` failed: Waiting failed: 45000ms exceeded"
"8ywnd9KM6xpzeGb6zbBTtbWqs5KXdKCfeZHyLzE2tvXJ",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"7xeU59rT8afgv1ovUHRAFoYJwLQUmdArnJmD7tjoBub4",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"A2mRn5mgZJSqLbiGvnfDoA1SRrs2oyRQhLLJTqUNR2Wy",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"CxWLBNtZaAJAAoGH2afDekCgZUPLkTsksyXCS7Wrqnu9",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
"6p8hEntQje23dPSwWHPaR3oiDHsRAsPPhcKX3L2utxBS",0,"ScrapeError","Navigation timeout of 60000 ms exceeded"
