[2025-04-11T19:54:20.969Z] Token: 9X87savfRSRf5QEN28LXn4TVaxitNYUk6c4hwSJCpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 19K
[2025-04-11T19:54:22.032Z] Token: 9X87savfRSRf5QEN28LXn4TVaxitNYUk6c4hwSJCpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 19K
[2025-04-11T19:54:37.297Z] Token: A5rdU18CyTf9NbGAJc9tqFP5CTkn6F4HNyDxMRzEpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 27K
[2025-04-11T19:54:38.332Z] Token: A5rdU18CyTf9NbGAJc9tqFP5CTkn6F4HNyDxMRzEpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 27K
[2025-04-11T19:55:14.735Z] Token: TEtv9gav3Z5hEonjRkfvYg8pmX7SsEsTe6nrbUUpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 133K
[2025-04-11T19:55:15.845Z] Token: TEtv9gav3Z5hEonjRkfvYg8pmX7SsEsTe6nrbUUpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 133K
[2025-04-11T19:56:23.725Z] Token: G6fW4PACCuxpWuRMkvWnWkvSxxqGm1pfk39JSDsCpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 3.4K
[2025-04-11T19:56:24.819Z] Token: G6fW4PACCuxpWuRMkvWnWkvSxxqGm1pfk39JSDsCpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 3.4K
[2025-04-11T19:56:27.571Z] Token: EDsM6Jf48HwXBHcZLdCAQieudJ1gxqq3xhSNh31Hpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 137K
[2025-04-11T19:56:28.641Z] Token: EDsM6Jf48HwXBHcZLdCAQieudJ1gxqq3xhSNh31Hpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 137K
[2025-04-11T19:56:37.399Z] Token: 729UBGMrAjpQGK3vUF4ihzjTziGc9PqHVHvAZv2Mpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 110K
[2025-04-11T19:56:38.359Z] Token: 729UBGMrAjpQGK3vUF4ihzjTziGc9PqHVHvAZv2Mpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 110K
[2025-04-11T19:59:07.542Z] Token: Dj54kdqbVa1t1FYmLYuUAyM4MNrGhHpqUYRb5yGXpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 26K
[2025-04-11T19:59:09.212Z] Token: Dj54kdqbVa1t1FYmLYuUAyM4MNrGhHpqUYRb5yGXpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 26K
[2025-04-11T19:59:10.694Z] Token: EeeXw2UwM6niF9Q1htXk54erMVhVmVqdu8iB4Sk5pump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 11K
[2025-04-11T19:59:10.819Z] Token: EeeXw2UwM6niF9Q1htXk54erMVhVmVqdu8iB4Sk5pump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 9 attempts | Details: Market Cap: 11K
[2025-04-11T19:59:10.865Z] Token: EeeXw2UwM6niF9Q1htXk54erMVhVmVqdu8iB4Sk5pump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 10 attempts | Details: Market Cap: 11K
[2025-04-11T19:59:11.819Z] Token: EeeXw2UwM6niF9Q1htXk54erMVhVmVqdu8iB4Sk5pump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 10 attempts | Details: Market Cap: 11K
[2025-04-11T19:59:22.529Z] Token: 2C3chrgEdVUmcbWHXdSeDcQ5Bz65J2mvEVHPGewjpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 24K
[2025-04-11T19:59:24.427Z] Token: 2C3chrgEdVUmcbWHXdSeDcQ5Bz65J2mvEVHPGewjpump | Error Type: PERSISTENT_MISSING_RSI | Error: Failed to get RSI data after 8 attempts | Details: Market Cap: 24K
